"_id","_labels","_applyNeo4jNaming","_classLabel","_dataTypePropertyLabel","_domainRel","_handleMultival","_handleRDFTypes","_handleVocabUris","_keepCustomDataTypes","_keepLangTag","_objectPropertyLabel","_rangeRel","_subClassOfRel","_subPropertyOfRel","date","description","exhibit","height","img","name","sitelink","uri","width","_start","_end","_type"
"4144","","","","","","","","","","","","","","","","transitional stage of physical and psychological development that generally occurs during the period from puberty to legal adulthood","","","","adolescence","","http://www.wikidata.org/entity/Q131774","",,,
"4145",":Paintings","","","","","","","","","","","","","","1890-01-01T00:00","painting by Vincent van Gogh","","66.7","http://commons.wikimedia.org/wiki/Special:FilePath/Girl%20in%20White%20by%20Vincent%20Van%20Gogh%20-%20NGA.jpg","Girl in White","7","http://www.wikidata.org/entity/Q5564475","45.8",,,
"4146",":Keyword","","","","","","","","","","","","","","","device for firing solid fuels in residential buildings","","","","fireplace","65","http://www.wikidata.org/entity/Q188669","",,,
"4147",":Paintings","","","","","","","","","","","","","","1886-01-01T00:00","painting by Vincent van Gogh","","35.0","http://commons.wikimedia.org/wiki/Special:FilePath/Glas%20met%20gele%20rozen%20-%20s0178V1962%20-%20Van%20Gogh%20Museum.jpg","Glass with Yellow Roses","1","http://www.wikidata.org/entity/Q19835980","27.0",,,
"4148",":Paintings","","","","","","","","","","","","","","1881-12-01T00:00","painting by Vincent van Gogh, 1881","","34.0","http://commons.wikimedia.org/wiki/Special:FilePath/Stilleven%20met%20kool%20en%20klompen%20-%20s0137V1962%20-%20Van%20Gogh%20Museum.jpg","Still Life with Cabbage and Clogs","1","http://www.wikidata.org/entity/Q19833788","55.0",,,
"4149",":Paintings","","","","","","","","","","","","","","1887-01-01T00:00","painting by Vincent van Gogh, 1887 (Van Gogh Museum, s0075V1962)","","32.5","http://commons.wikimedia.org/wiki/Special:FilePath/Gipsen%20vrouwentorso%20-%20s0075V1962%20-%20Van%20Gogh%20Museum.jpg","Plaster Cast of a Woman's Torso","1","http://www.wikidata.org/entity/Q19835968","24.0",,,
"4150",":Paintings","","","","","","","","","","","","","","1887-01-01T00:00","painting by Vincent van Gogh","","53.7","http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20van%20Gogh%20-%20Factories%20at%20Asni%C3%A8res%2C%20Seen%20from%20the%20Quai%20de%20Clichy.jpg","Factories at Clichy","1","http://www.wikidata.org/entity/Q19938762","72.7",,,
"4151",":Keyword","","","","","","","","","","","","","","","surface, typically glass coated with a metal amalgam, which reflects a clear image","","","","mirror","145","http://www.wikidata.org/entity/Q35197","",,,
"4152",":Paintings","","","","","","","","","","","","","","1883-01-01T00:00","painting by Vincent van Gogh, 1883","","35.4","http://commons.wikimedia.org/wiki/Special:FilePath/Hutten%20-%20s0053V1962%20-%20Van%20Gogh%20Museum.jpg","Cottages","1","http://www.wikidata.org/entity/Q19833790","55.7",,,
"4153",":Paintings","","","","","","","","","","","","","","1883-01-01T00:00","painting by Vincent van Gogh, 1883","","27.8","http://commons.wikimedia.org/wiki/Special:FilePath/Twee%20vrouwen%20in%20het%20veen%20-%20s0129V1962%20-%20Van%20Gogh%20Museum.jpg","Women on the Peat Moor","1","http://www.wikidata.org/entity/Q19833791","36.5",,,
"4154",":Paintings","","","","","","","","","","","","","","1884-01-01T00:00","painting by Vincent van Gogh","","41.5","http://commons.wikimedia.org/wiki/Special:FilePath/Het%20uitgaan%20van%20de%20Hervormde%20Kerk%20te%20Nuenen%20-%20s0003V1962%20-%20Van%20Gogh%20Museum.jpg","Congregation Leaving the Reformed Church in Nuenen","7","http://www.wikidata.org/entity/Q19833792","32.2",,,
"4155",":Paintings","","","","","","","","","","","","","","1887-01-01T00:00","painting by Vincent van Gogh, 1887","","19.0","http://commons.wikimedia.org/wiki/Special:FilePath/IJsvogel%20aan%20de%20waterkant%20-%20s0100V1962%20-%20Van%20Gogh%20Museum.jpg","Kingfisher by the Waterside","4","http://www.wikidata.org/entity/Q19833793","26.5",,,
"4156",":Paintings","","","","","","","","","","","","","","1885-01-01T00:00","painting by Vincent van Gogh","","40.5","http://commons.wikimedia.org/wiki/Special:FilePath/Garenspoelende%20vrouw%20-%20s0073V1962%20-%20Van%20Gogh%20Museum.jpg","Woman Winding Yarn","1","http://www.wikidata.org/entity/Q19833794","31.7",,,
"4157",":Paintings","","","","","","","","","","","","","","1885-01-01T00:00","painting by Vincent van Gogh, 1885","","31.5","http://commons.wikimedia.org/wiki/Special:FilePath/Bierpullen%20-%20s0096V1962%20-%20Van%20Gogh%20Museum.jpg","Beer Tankards","1","http://www.wikidata.org/entity/Q19833795","42.5",,,
"4158",":Keyword","","","","","","","","","","","","","","","small hand-propelled vehicle","","","","wheelbarrow","66","http://www.wikidata.org/entity/Q175334","",,,
"4159",":Paintings","","","","","","","","","","","","","","1885-01-01T00:00","painting by Vincent van Gogh","","65.5","http://commons.wikimedia.org/wiki/Special:FilePath/Stilleven%20met%20koperen%20ketel%20en%20kruik%20-%20s0052V1962%20-%20Van%20Gogh%20Museum.jpg","Still Life with Brass Cauldron and Jug","1","http://www.wikidata.org/entity/Q19833796","80.5",,,
"4160",":Paintings","","","","","","","","","","","","","","1886-01-01T00:00","painting by Vincent van Gogh","","35.0","http://commons.wikimedia.org/wiki/Special:FilePath/Geknielde%20spierman%20-%20s0102V1962%20-%20Van%20Gogh%20Museum.jpg","Kneeling Ecorché","1","http://www.wikidata.org/entity/Q19835954","27.0",,,
"4161",":Paintings","","","","","","","","","","","","","","1889-01-01T00:00","painting by Vincent van Gogh, 1889","","73.2","http://commons.wikimedia.org/wiki/Special:FilePath/Korenveld%20met%20maaier%20-%20s0049V1962%20-%20Van%20Gogh%20Museum.jpg","Wheatfield with a Reaper","1","http://www.wikidata.org/entity/Q19833776","92.7",,,
"4162",":Keyword","","","","","","","","","","","","","","","order of mammals which resemble rodents","","","","bat","180","http://www.wikidata.org/entity/Q28425","",,,
"4163",":Paintings","","","","","","","","","","","","","","1887-01-01T00:00","painting by Vincent van Gogh, 1887 (Van Gogh Museum, s0199V1962)","","40.5","http://commons.wikimedia.org/wiki/Special:FilePath/Gipsen%20vrouwentorso%20-%20s0199V1962%20-%20Van%20Gogh%20Museum.jpg","Plaster Cast of a Woman's Torso","1","http://www.wikidata.org/entity/Q19835959","27.0",,,
"4164",":Paintings","","","","","","","","","","","","","","1887-01-01T00:00","painting by Vincent van Gogh","","46.0","http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20van%20Gogh%20-%20The%20Factory%20-%20BF303%20-%20Barnes%20Foundation.jpg","The Factory at Asnieres","1","http://www.wikidata.org/entity/Q19938777","55.6",,,
"4165","","","","","","","","","","","","","","","","branch of the Vatican Museums","","","","Collection of Modern Religious Art, Vatican Museums","","http://www.wikidata.org/entity/Q2034945","",,,
"4166","","","","","","","","","","","","","","","","book by Jan Hulsker","","","","The Complete Van Gogh: Paintings, Drawings, Sketches","","http://www.wikidata.org/entity/Q28841471","",,,
"4167","","","","","","","","","","","","","","","","preparing food for consumption by the application of heat","","","","cooking","","http://www.wikidata.org/entity/Q38695","",,,
"4168","","","","","","","","","","","","","","","","","","43.6","","Terrace and Observation Deck at the Moulin de Blute-Fin, Montmartre","","http://www.wikidata.org/entity/Q20266924","",,,
"4169",":Keyword","","","","","","","","","","","","","","","landform, hill of sand","","","","dune","83","http://www.wikidata.org/entity/Q25391","",,,
"4170",":Paintings","","","","","","","","","","","","","","1887-01-01T00:00","painting by Vincent van Gogh, 1887 (Van Gogh Museum, s0200V1962)","","41.0","http://commons.wikimedia.org/wiki/Special:FilePath/Gipsen%20vrouwentorso%20-%20s0200V1962%20-%20Van%20Gogh%20Museum.jpg","Plaster Cast of a Woman's Torso","1","http://www.wikidata.org/entity/Q19835963","32.5",,,
"4171","","","","","","","","","","","","","","","","","","","","The Potato Peeler","","http://www.wikidata.org/entity/Q20167246","31.8",,,
"4172",":Keyword","","","","","","","","","","","","","","","field vegetated primarily by grass and other non-woody plants (grassland)","","","","meadow","73","http://www.wikidata.org/entity/Q7777019","",,,
"4173","","","","","","","","","","","","","","","","","","","","Self-portrait without beard","","http://www.wikidata.org/entity/Q22329831","",,,
"4174",":Keyword","","","","","","","","","","","","","","","area of land for farming, or, for aquaculture, lake, river or sea, including various structures","","","","farm","92","http://www.wikidata.org/entity/Q131596","",,,
"4175",":Keyword","","","","","","","","","","","","","","","","","","","roadside tree","7","http://www.wikidata.org/entity/Q491700","",,,
"4176","","","","","","","","","","","","","","","","","","","","Canton of Neuchâtel","","http://www.wikidata.org/entity/Q12738","",,,
